ui.status.ready,Ready.
ui.status.running,▶ Running
ui.status.stopped,■ Stopped
ui.status.paused,⏺ Paused
ui.status.new_graph_created,New graph created.
ui.status.graph_saved,Saved → {path}
ui.status.save_failed,Save failed: {exc}
ui.status.graph_loaded,Loaded ← {path}
ui.status.load_failed,Load failed: {exc}
ui.status.connecting,Connecting to {name} @ {addr}…
ui.button.new_graph,New Graph  (Ctrl+N)
ui.button.save_graph,Save Graph  (Ctrl+S)
ui.button.load_graph,Load Graph  (Ctrl+O)
ui.button.run_graph,Run Graph  (F5)
ui.button.pause_graph,Pause Graph  (F7)
ui.button.resume_graph,Resume Graph  (F7)
ui.button.stop_graph,Stop Graph  (F6)
ui.button.save,Save
ui.button.discard,Discard
ui.button.cancel,Cancel
ui.dialog.unsaved_changes.title,Unsaved Changes
ui.dialog.unsaved_changes.message,The current graph has unsaved changes.
ui.dialog.save_graph.title,Save Graph
ui.dialog.save_graph.filter,GameFlow Graph (*.sfgraph);;JSON (*.json)
ui.dialog.load_graph.title,Load Graph
ui.untitled,Untitled
node.float.name,Float
node.integer.name,Integer
node.string.name,String
node.boolean.name,Boolean
node.pi.name,Pi (π)
node.euler.name,Euler (e)
node.golden_ratio.name,Golden Ratio (φ)
node.tau.name,Tau (τ = 2π)
node.color.name,Color
node.slider.name,Slider
node.button.name,Button
node.toggle.name,Toggle
node.touchpad.name,Touchpad
node.time_selector.name,Time Selector
node.log_debug.name,Log / Debug
node.numeric_display.name,Numeric Display
node.text_display.name,Text Display
node.json_debug.name,JSON Debug
node.time_display.name,Time Display
node.state_indicator.name,State Indicator
node.touchpad_display.name,Touchpad Display
node.group.constants,Constants
node.group.controls,Controls
node.group.debug,Debug
node.group.audio,Audio
core.ble.no_bleak,bleak is not installed. Run: pip install bleak
core.graph.tick_cycle,Tick cycle detected
core.graph.infinite_loop,Infinite tick loop: {src}:{pin} already firing
ui.panel.devices.title,DEVICES
ui.panel.devices.add_tooltip,Add device
ui.panel.devices.empty,No devices.\nClick + to add.
ui.panel.devices.no_ble,⚠ No Bluetooth adapter found
ui.panel.devices.no_ble_detail,⚠ No Bluetooth adapter found — BLE devices unavailable
ui.panel.devices.no_bleak,⚠ bleak not installed — run: pip install bleak
ui.panel.devices.battery_unknown,Battery level unknown
ui.panel.devices.battery,Battery: {level}%
ui.panel.devices.battery_unknown_short,Battery: unknown
ui.panel.devices.select_continue,Select a device above to continue
ui.panel.devices.turn_on_ble,Turn on your device. Click Search & Connect to scan via Bluetooth.
ui.panel.devices.alias_placeholder,e.g. Domi Wand Left
ui.panel.devices.alias_label,Device name / alias:
ui.panel.devices.website_tooltip,Open device webpage
ui.panel.devices.address_label,Address: {address}
ui.panel.devices.id_label,ID: {id}…
ui.panel.devices.battery_label,Battery:
ui.panel.devices.status_label,Status: {status}
ui.button.website,Website ↗
ui.button.search_connect,Search & Connect →
ui.button.connect,Connect →
ui.button.remove,Remove
ui.button.close,Close
ui.dialog.add_device.title,Add Device
ui.dialog.device_detail.title,Device: {name}
ui.dialog.device_address.title,Device Address
ui.dialog.device_address.message,Enter the connection address for {name}.
ui.dialog.device_address.address_label,Address:
node.add.name,Add
node.subtract.name,Subtract
node.multiply.name,Multiply
node.divide.name,Divide
node.modulo.name,Modulo
node.power.name,Power
node.min.name,Min
node.max.name,Max
node.abs.name,Abs
node.negate.name,Negate
node.reciprocal.name,Reciprocal
